in s,C1 in V,C2 in V
-1.590144E-04,6.30399E-01,1.96761E-02
-1.590112E-04,6.26489E-01,1.86009E-02
-1.590080E-04,6.24534E-01,1.87964E-02
-1.590048E-04,6.26489E-01,1.97250E-02
-1.590016E-04,6.28444E-01,1.92362E-02
-1.589984E-04,6.26489E-01,1.86009E-02
-1.589952E-04,6.22579E-01,1.94806E-02
-1.589920E-04,6.28444E-01,1.95295E-02
-1.589888E-04,6.30399E-01,1.90407E-02
-1.589856E-04,6.26489E-01,1.94806E-02
-1.589824E-04,6.28444E-01,1.92362E-02
-1.589792E-04,6.28444E-01,1.89919E-02
-1.589760E-04,6.24534E-01,1.93829E-02
-1.589728E-04,6.30399E-01,1.91874E-02
-1.589696E-04,6.26489E-01,1.87964E-02
-1.589664E-04,6.30399E-01,1.91385E-02
-1.589632E-04,6.26489E-01,1.90896E-02
-1.589600E-04,6.32354E-01,1.88452E-02
-1.589568E-04,6.28444E-01,1.90896E-02
-1.589536E-04,6.36264E-01,1.88941E-02
-1.589504E-04,6.34309E-01,1.88452E-02
-1.589472E-04,6.32354E-01,1.89919E-02
-1.589440E-04,6.28444E-01,1.86497E-02
-1.589408E-04,6.32354E-01,1.87475E-02
-1.589376E-04,6.36264E-01,1.88941E-02
-1.589344E-04,6.34309E-01,1.86009E-02
-1.589312E-04,6.38219E-01,1.85031E-02
-1.589280E-04,6.28444E-01,1.86986E-02
-1.589248E-04,6.34309E-01,1.82587E-02
-1.589216E-04,6.34309E-01,1.84054E-02
-1.589184E-04,6.32354E-01,1.86009E-02
-1.589152E-04,6.32354E-01,1.81610E-02
-1.589120E-04,6.32354E-01,1.82587E-02
-1.589088E-04,6.30399E-01,1.89919E-02
-1.589056E-04,6.32354E-01,1.82587E-02
-1.589024E-04,6.34309E-01,1.85031E-02
-1.588992E-04,6.30399E-01,1.90896E-02
-1.588960E-04,6.38219E-01,1.83565E-02
-1.588928E-04,6.38219E-01,1.86009E-02
-1.588896E-04,6.40174E-01,1.93829E-02
-1.588864E-04,6.44084E-01,1.86009E-02
-1.588832E-04,6.40174E-01,1.86497E-02
-1.588800E-04,6.36264E-01,1.95295E-02
-1.588768E-04,6.40174E-01,1.89430E-02
-1.588736E-04,6.36264E-01,1.88452E-02
-1.588704E-04,6.38219E-01,1.94806E-02
-1.588672E-04,6.40174E-01,1.91874E-02
-1.588640E-04,6.38219E-01,1.87964E-02
-1.588608E-04,6.36264E-01,1.92362E-02
-1.588576E-04,6.40174E-01,1.90896E-02
-1.588544E-04,6.40174E-01,1.89919E-02
-1.588512E-04,6.36264E-01,1.93340E-02
-1.588480E-04,6.42129E-01,1.90896E-02
-1.588448E-04,6.40174E-01,1.91385E-02
-1.588416E-04,6.44084E-01,1.93829E-02
-1.588384E-04,6.38219E-01,1.92851E-02
-1.588352E-04,6.40174E-01,1.93829E-02
-1.588320E-04,6.46039E-01,1.94806E-02
-1.588288E-04,6.38219E-01,1.92851E-02
-1.588256E-04,6.40174E-01,1.93829E-02
-1.588224E-04,6.42129E-01,1.95784E-02
-1.588192E-04,6.42129E-01,1.90407E-02
-1.588160E-04,6.40174E-01,1.89430E-02
-1.588128E-04,6.40174E-01,1.96272E-02
-1.588096E-04,6.42129E-01,1.89919E-02
-1.588064E-04,6.47994E-01,1.88941E-02
-1.588032E-04,6.44084E-01,1.94317E-02
-1.588000E-04,6.47994E-01,1.88941E-02
-1.587968E-04,6.42129E-01,1.85520E-02
-1.587936E-04,6.46039E-01,1.94317E-02
-1.587904E-04,6.46039E-01,1.89919E-02
-1.587872E-04,6.42129E-01,1.87475E-02
-1.587840E-04,6.44084E-01,1.91874E-02
-1.587808E-04,6.47994E-01,1.89919E-02
-1.587776E-04,6.47994E-01,1.87475E-02
-1.587744E-04,6.46039E-01,1.90407E-02
-1.587712E-04,6.47994E-01,1.90407E-02
-1.587680E-04,6.47994E-01,1.88941E-02
-1.587648E-04,6.42129E-01,1.93340E-02
-1.587616E-04,6.49949E-01,1.89919E-02
-1.587584E-04,6.49949E-01,1.89919E-02
-1.587552E-04,6.47994E-01,1.95295E-02
-1.587520E-04,6.42129E-01,1.92362E-02
-1.587488E-04,6.49949E-01,1.91385E-02
-1.587456E-04,6.49949E-01,1.95295E-02
-1.587424E-04,6.42129E-01,1.90896E-02
-1.587392E-04,6.42129E-01,1.90896E-02
-1.587360E-04,6.46039E-01,1.97250E-02
-1.587328E-04,6.47994E-01,1.92851E-02
-1.587296E-04,6.55814E-01,1.89430E-02
-1.587264E-04,6.47994E-01,1.94806E-02
-1.587232E-04,6.53859E-01,1.93340E-02
-1.587200E-04,6.47994E-01,1.89919E-02
-1.587168E-04,6.53859E-01,1.94317E-02
-1.587136E-04,6.47994E-01,1.93340E-02
-1.587104E-04,6.42129E-01,1.90896E-02
-1.587072E-04,6.44084E-01,1.93340E-02
-1.587040E-04,6.49949E-01,1.92362E-02
-1.587008E-04,6.55814E-01,1.91385E-02
-1.586976E-04,6.49949E-01,1.93340E-02
-1.586944E-04,6.51904E-01,1.93340E-02
-1.586912E-04,6.55814E-01,1.92851E-02
-1.586880E-04,6.53859E-01,1.97250E-02
-1.586848E-04,6.49949E-01,1.92362E-02
-1.586816E-04,6.49949E-01,1.93340E-02
-1.586784E-04,6.51904E-01,1.96761E-02
-1.586752E-04,6.51904E-01,1.94317E-02
-1.586720E-04,6.55814E-01,1.93340E-02
-1.586688E-04,6.53859E-01,1.99694E-02
-1.586656E-04,6.55814E-01,1.96272E-02
-1.586624E-04,6.55814E-01,1.89430E-02
-1.586592E-04,6.59724E-01,1.96761E-02
-1.586560E-04,6.57769E-01,1.96761E-02
-1.586528E-04,6.51904E-01,1.88941E-02
-1.586496E-04,6.53859E-01,1.94317E-02
-1.586464E-04,6.57769E-01,1.96272E-02
-1.586432E-04,6.53859E-01,1.90407E-02
-1.586400E-04,6.59724E-01,1.91385E-02
-1.586368E-04,6.49949E-01,1.94317E-02
-1.586336E-04,6.61679E-01,1.90896E-02
-1.586304E-04,6.53859E-01,1.92362E-02
-1.586272E-04,6.63634E-01,1.94806E-02
-1.586240E-04,6.63634E-01,1.93829E-02
-1.586208E-04,6.61679E-01,1.91385E-02
-1.586176E-04,6.61679E-01,1.94317E-02
